Model,TBS2102
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-05
Sample Interval,8e-09
Filter Frequency,1e+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH1
-1.74720e-05,-13.75
-1.74640e-05,-13.75
-1.74560e-05,-13.75
-1.74480e-05,-13.75
-1.74400e-05,-13.75
-1.74320e-05,-13.75
-1.74240e-05,-13.75
-1.74160e-05,-13.75
-1.74080e-05,-13.75
-1.74000e-05,-13.75
-1.73920e-05,-13.5
-1.73840e-05,-13.75
-1.73760e-05,-13.75
-1.73680e-05,-13.5
-1.73600e-05,-13.75
-1.73520e-05,-13.75
-1.73440e-05,-13.75
-1.73360e-05,-13.75
-1.73280e-05,-13.75
-1.73200e-05,-13.75
-1.73120e-05,-13.75
-1.73040e-05,-13.75
-1.72960e-05,-13.75
-1.72880e-05,-13.75
-1.72800e-05,-13.75
-1.72720e-05,-13.75
-1.72640e-05,-13.75
-1.72560e-05,-13.75
-1.72480e-05,-13.75
-1.72400e-05,-13.75
-1.72320e-05,-13.75
-1.72240e-05,-13.75
-1.72160e-05,-13.75
-1.72080e-05,-13.75
-1.72000e-05,-13.75
-1.71920e-05,-13.75
-1.71840e-05,-13.75
-1.71760e-05,-13.75
-1.71680e-05,-13.75
-1.71600e-05,-13.5
-1.71520e-05,-13.75
-1.71440e-05,-13.75
-1.71360e-05,-13.75
-1.71280e-05,-13.75
-1.71200e-05,-13.75
-1.71120e-05,-13.5
-1.71040e-05,-13.75
-1.70960e-05,-13.75
-1.70880e-05,-13.75
-1.70800e-05,-13.75
-1.70720e-05,-13.75
-1.70640e-05,-13.75
-1.70560e-05,-13.75
-1.70480e-05,-13.75
-1.70400e-05,-13.75
-1.70320e-05,-13.75
-1.70240e-05,-13.5
-1.70160e-05,-13.75
-1.70080e-05,-13.75
-1.70000e-05,-13.5
-1.69920e-05,-13.75
-1.69840e-05,-13.75
-1.69760e-05,-13.75
-1.69680e-05,-13.75
-1.69600e-05,-13.75
-1.69520e-05,-13.75
-1.69440e-05,-13.75
-1.69360e-05,-13.75
-1.69280e-05,-13.75
-1.69200e-05,-13.75
-1.69120e-05,-13.75
-1.69040e-05,-13.75
-1.68960e-05,-13.75
-1.68880e-05,-13.75
-1.68800e-05,-13.75
-1.68720e-05,-13.5
-1.68640e-05,-13.75
-1.68560e-05,-13.75
-1.68480e-05,-13.75
-1.68400e-05,-13.75
-1.68320e-05,-13.75
-1.68240e-05,-13.75
-1.68160e-05,-13.75
-1.68080e-05,-13.75
-1.68000e-05,-13.75
-1.67920e-05,-13.75
-1.67840e-05,-13.5
-1.67760e-05,-13.75
-1.67680e-05,-13.75
-1.67600e-05,-13.75
-1.67520e-05,-13.75
-1.67440e-05,-13.75
-1.67360e-05,-13.75
-1.67280e-05,-13.75
-1.67200e-05,-13.75
-1.67120e-05,-13.5
-1.67040e-05,-13.75
-1.66960e-05,-13.75
-1.66880e-05,-13.75
-1.66800e-05,-13.75
-1.66720e-05,-13.75
-1.66640e-05,-13.75
-1.66560e-05,-13.75
-1.66480e-05,-13.75
-1.66400e-05,-13.75
-1.66320e-05,-13.75
-1.66240e-05,-13.5
-1.66160e-05,-13.75
-1.66080e-05,-13.75
-1.66000e-05,-13.75
-1.65920e-05,-13.75
-1.65840e-05,-13.75
-1.65760e-05,-13.75
-1.65680e-05,-13.5
-1.65600e-05,-13.5
-1.65520e-05,-13.75
-1.65440e-05,-13.75
-1.65360e-05,-13.75
-1.65280e-05,-13.75
-1.65200e-05,-13.75
-1.65120e-05,-13.75
-1.65040e-05,-13.75
-1.64960e-05,-13.75
-1.64880e-05,-13.75
-1.64800e-05,-13.75
-1.64720e-05,-13.75
-1.64640e-05,-13.75
-1.64560e-05,-13.75
-1.64480e-05,-13.75
-1.64400e-05,-13.75
-1.64320e-05,-13.75
-1.64240e-05,-13.75
-1.64160e-05,-13.75
-1.64080e-05,-13.75
-1.64000e-05,-13.75
-1.63920e-05,-13.75
-1.63840e-05,-13.75
-1.63760e-05,-13.5
-1.63680e-05,-13.75
-1.63600e-05,-13.5
-1.63520e-05,-13.75
-1.63440e-05,-13.75
-1.63360e-05,-13.75
-1.63280e-05,-13.75
-1.63200e-05,-13.75
-1.63120e-05,-13.75
-1.63040e-05,-13.75
-1.62960e-05,-13.75
-1.62880e-05,-13.75
-1.62800e-05,-13.75
-1.62720e-05,-13.75
-1.62640e-05,-13.75
-1.62560e-05,-13.75
-1.62480e-05,-13.75
-1.62400e-05,-13.75
-1.62320e-05,-13.75
-1.62240e-05,-13.75
-1.62160e-05,-13.75
-1.62080e-05,-13.5
-1.62000e-05,-13.75
-1.61920e-05,-13.75
-1.61840e-05,-13.75
-1.61760e-05,-13.75
-1.61680e-05,-13.75
-1.61600e-05,-13.75
-1.61520e-05,-13.75
-1.61440e-05,-13.75
-1.61360e-05,-13.75
-1.61280e-05,-13.5
-1.61200e-05,-13.75
-1.61120e-05,-13.75
-1.61040e-05,-13.75
-1.60960e-05,-13.75
-1.60880e-05,-13.75
-1.60800e-05,-13.75
-1.60720e-05,-13.75
-1.60640e-05,-13.75
-1.60560e-05,-13.75
-1.60480e-05,-13.75
-1.60400e-05,-13.75
-1.60320e-05,-13.75
-1.60240e-05,-13.75
-1.60160e-05,-13.5
-1.60080e-05,-13.75
-1.60000e-05,-13.75
-1.59920e-05,-13.75
-1.59840e-05,-13.5
-1.59760e-05,-13.75
-1.59680e-05,-13.75
-1.59600e-05,-13.75
-1.59520e-05,-13.5
-1.59440e-05,-14
-1.59360e-05,-13.75
