Time [s],Voltage [V],Set Frequency [rad/s],Measured Frequency [rad/s]
1.852,1,8.34999999999999,7.66981523149936
1.854,1,8.34999999999999,7.67022037060964
1.856,1,8.34999999999999,7.67040516407203
1.858,1,8.34999999999999,7.6704542287875
1.86,1,8.34999999999999,7.6704260791705
1.862,1,8.34999999999999,7.67035953640402
1.864,1,8.34999999999999,7.67027908955843
1.866,1,8.34999999999999,7.67019916871319
1.868,1,8.34999999999999,7.67012741620744
1.87,1,8.34999999999999,7.67006710082524
1.872,1,8.34999999999999,7.67001883671402
1.874,1,8.34999999999999,7.66998176193026
1.876,1,8.34999999999999,7.66995431253514
1.878,1,8.34999999999999,7.66993470463429
1.88,1,8.34999999999999,7.6699212131138
1.882,1,8.34999999999999,7.66991231446419
1.884,1,8.34999999999999,7.66990674303804
1.886,1,8.34999999999999,7.66990349559631
1.888,1,8.34999999999999,7.66990180783447
1.89,1,8.34999999999999,7.66990111828393
1.892,1,8.34999999999999,7.66990102904487
1.894,1,8.34999999999999,7.66990126870507
1.896,1,8.34999999999999,7.66990166008388
1.898,1,8.34999999999999,7.66990209373307
1.9,1,8.34999999999999,7.66990250712164
1.902,1,8.34999999999999,7.66990286890723
1.904,1,8.34999999999999,7.6699031674709
1.906,1,8.34999999999999,7.66990340285691
1.908,1,8.34999999999999,7.66990358132451
1.91,1,8.34999999999999,7.6699037118285
1.912,1,8.34999999999999,7.66990380387758
1.914,1,8.34999999999999,7.66990386633739
1.916,1,8.34999999999999,7.6699039068552
1.918,1,8.34999999999999,7.66990393167446
1.92,1,8.34999999999999,7.66990394567363
1.922,1,8.34999999999999,7.66990395252169
1.924,1,8.34999999999999,7.66990395488088
1.926,1,8.34999999999999,7.6699039546136
1.928,1,8.34999999999999,7.66990395297235
1.93,1,8.34999999999999,7.66990395076052
1.932,1,8.34999999999999,7.66990394846261
1.934,1,8.34999999999999,7.66990394634571
1.936,1,8.34999999999999,7.66990394453423
1.938,1,8.34999999999999,7.59420502538778
1.94,1,8.34999999999999,7.561312836027
1.942,1,8.34999999999999,7.55449192490008
1.944,1,8.34999999999999,7.63794457814168
1.946,1,8.34999999999999,7.60989765934982
1.948,1,8.34999999999999,7.60086516201188
1.95,1,8.34999999999999,7.60286280404391
1.952,1,8.34999999999999,7.61054466033448
1.954,1,8.34999999999999,7.62049922408149
1.956,1,8.34999999999999,7.63068314066964
1.958,1,8.34999999999999,7.63998423806118
1.96,1,8.34999999999999,7.64789662647073
1.962,1,8.34999999999999,7.65428762080929
1.964,1,8.34999999999999,7.65923662772075
1.966,1,8.34999999999999,7.66292830602589
1.968,1,8.34999999999999,7.66558521089704
1.97,1,8.34999999999999,7.66742813888113
1.972,1,8.34999999999999,7.66865515706348
1.974,1,8.34999999999999,7.66943266453036
1.976,1,8.34999999999999,7.66989375176216
1.978,1,8.34999999999999,7.67014061327524
1.98,1,8.34999999999999,7.59454996569738
1.982,1,8.34999999999999,7.56168146350693
1.984,1,8.34999999999999,7.55483680052725
1.986,1,8.34999999999999,7.63824275119854
1.988,1,8.34999999999999,7.6101415016574
1.99,1,8.34999999999999,7.60105596838394
1.992,1,8.34999999999999,7.60300649932437
1.994,1,8.34999999999999,7.61064905338393
1.996,1,8.34999999999999,7.62057235763236
1.998,1,8.34999999999999,7.63073238837096
2,1,8.34999999999999,7.64001588905051
2.002,1,8.34999999999999,7.64791577090083
2.004,1,8.34999999999999,7.65429820714534
